name,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990
	NetPPE,"191,282,000,000","187,017,000,000","174,341,000,000","166,706,000,000","158,219,000,000","152,773,000,000","145,166,000,000","137,244,000,000","122,214,000,000","106,872,000,000","100,391,000,000","93,126,000,000","46,656,000,000","45,157,000,000","36,190,000,000","33,342,000,000","7,500,000,000","6,516,000,000","6,260,000,000","5,407,000,000","4,776,000,000","2,699,000,000","1,903,000,000","1,491,000,000","1,056,500,000","1,034,200,000","333,300,000","275,700,000","259,700,000","224,500,000","222,100,000","209,900,000"
	GoodwillAndOtherIntangibleAssets,"102,361,000,000","104,418,000,000","113,528,000,000","113,173,000,000","114,440,000,000","113,572,000,000","72,505,000,000","70,655,000,000","66,194,000,000","54,523,000,000","53,213,000,000","55,910,000,000","33,972,000,000","33,781,000,000","32,862,000,000","32,238,000,000","23,644,000,000","23,012,000,000","22,948,000,000","22,298,000,000","21,407,000,000","18,875,000,000","18,281,000,000","18,446,000,000","3,066,500,000","3,110,300,000",,,,,,
		Goodwill,"73,875,000,000","73,734,000,000","81,882,000,000","81,025,000,000","81,258,000,000","79,486,000,000","62,708,000,000","60,714,000,000","57,011,000,000","54,523,000,000","53,213,000,000","49,006,000,000","33,972,000,000",,,,"23,644,000,000","23,012,000,000","22,948,000,000","22,298,000,000","21,407,000,000","18,875,000,000","18,281,000,000","18,446,000,000","3,066,500,000","3,110,300,000",,,,,,
		OtherIntangibleAssets,"28,486,000,000","30,684,000,000","31,646,000,000","32,148,000,000","33,182,000,000","34,086,000,000","9,797,000,000","9,941,000,000","9,183,000,000",,,"6,904,000,000",,"33,781,000,000","32,862,000,000","32,238,000,000",,,,,,,,,,,,,,,,
	SeparateAccountAssets,,,,,,,,,,,,,,,,,,,,,"5,561,000,000",,,,,,,,,,,
	OtherAssets,"62,939,000,000","57,627,000,000","50,537,000,000","40,454,000,000","52,864,000,000","42,783,000,000","37,342,000,000","42,391,000,000","39,197,000,000","44,736,000,000","43,626,000,000","38,016,000,000","30,859,000,000","27,892,000,000","23,706,000,000","22,021,000,000","12,657,000,000","35,606,000,000","12,494,000,000","11,085,000,000","11,879,000,000","27,005,000,000","29,109,000,000","20,487,000,000","2,728,500,000","2,204,500,000","26,132,100,000","20,192,000,000","16,897,400,000","14,837,300,000","12,573,300,000","9,507,900,000"
TotalLiabilitiesNetMinorityInterest,"443,854,000,000","422,393,000,000","389,166,000,000","355,294,000,000","350,141,000,000","334,495,000,000","293,630,000,000","283,159,000,000","260,446,000,000","235,864,000,000","223,686,000,000","209,295,000,000","161,334,000,000","153,820,000,000","149,759,000,000","137,756,000,000","106,841,000,000","102,216,000,000","102,963,000,000","105,507,000,000","104,802,000,000","72,799,000,000","72,232,000,000","63,190,000,000","24,199,200,000","19,648,100,000","12,447,200,000","9,264,000,000","8,909,800,000","7,919,000,000","6,964,800,000","5,289,700,000"
	PolicyReservesBenefits,"180,214,000,000","172,501,000,000","163,120,000,000","154,692,000,000","145,361,000,000","113,854,000,000","108,075,000,000","96,682,000,000","87,317,000,000","85,340,000,000","82,653,000,000","76,637,000,000","71,143,000,000","71,343,000,000","70,575,000,000","62,208,000,000","61,211,000,000","58,611,000,000","58,208,000,000","57,479,000,000","48,482,000,000","36,907,000,000","30,520,000,000","26,336,000,000","8,124,200,000","7,457,900,000",,,,,"3,001,600,000",
		UnpaidLossAndLossReserve,"134,250,000,000","129,490,000,000","123,183,000,000","117,967,000,000","111,713,000,000","83,632,000,000","80,267,000,000","71,477,000,000","64,866,000,000","64,160,000,000","63,819,000,000","60,075,000,000","59,416,000,000","59,863,000,000","60,091,000,000","51,550,000,000","51,803,000,000","52,328,000,000","49,028,000,000","48,143,000,000","40,716,000,000","33,022,000,000","26,802,000,000","23,012,000,000","6,850,500,000","6,274,400,000",,,,,"2,849,100,000",
		UnearnedPremiums,"23,512,000,000","21,395,000,000","19,782,000,000","18,093,000,000","16,040,000,000","14,245,000,000","13,311,000,000","11,944,000,000","10,770,000,000","10,237,000,000","8,910,000,000","7,997,000,000","7,925,000,000","7,861,000,000","6,680,000,000","7,058,000,000","6,206,000,000","6,283,000,000","6,308,000,000","6,694,000,000","4,814,000,000","3,885,000,000","3,718,000,000","3,324,000,000","1,273,700,000","1,183,500,000",,,,,"152,500,000",
		FuturePolicyBenefits,"22,452,000,000","21,616,000,000","20,155,000,000","18,632,000,000","17,608,000,000","15,977,000,000","14,497,000,000","13,261,000,000","11,681,000,000","10,943,000,000","9,924,000,000","8,565,000,000","3,802,000,000","3,619,000,000","3,804,000,000","3,600,000,000","3,202,000,000",,"2,872,000,000","2,642,000,000","2,952,000,000",,,,,,,,,,,
	TotalDeposits,,,,,,,,,,,,,,,,,"379,000,000",,,,,,,,,,,,,,"286,900,000",
	PayablesAndAccruedExpenses,"46,072,000,000","44,503,000,000","42,319,000,000","37,186,000,000","35,903,000,000","35,042,000,000","31,271,000,000","40,223,000,000","37,835,000,000","35,361,000,000","32,706,000,000","29,361,000,000","23,788,000,000","20,703,000,000","19,646,000,000","20,600,000,000","8,699,000,000","7,500,000,000","6,386,000,000","13,104,000,000","14,589,000,000","8,374,000,000","7,458,000,000","7,182,000,000","2,202,300,000","2,556,800,000","482,100,000","397,400,000","738,900,000","895,600,000","779,100,000","475,900,000"
		Payables,,,,,,,,,,,,,,,,,,,,"13,104,000,000","14,589,000,000",,,,,,"482,100,000","397,400,000","738,900,000","895,600,000","779,100,000","475,900,000"
			AccountsPayable,,,,,,,,,,,,,,,,,,,,"5,053,000,000","7,568,000,000",,,,,,"482,100,000","397,400,000","738,900,000","895,600,000","779,100,000","475,900,000"
			TotalTaxPayable,,,,,,,,,,,,,,,,,,,,"8,051,000,000","7,021,000,000",,,,,,,,,,,
				IncomeTaxPayable,,,,,,,,,,,,,,,,,,,,"8,051,000,000","7,021,000,000",,,,,,,,,,,
	CurrentDebtAndCapitalLeaseObligation,"2,351,000,000","3,348,000,000","4,686,000,000","4,373,000,000","6,320,000,000","2,094,000,000","1,989,000,000","839,000,000","949,000,000","1,416,000,000",,"1,682,000,000",,,,,"1,381,000,000",,"1,704,000,000","2,409,000,000","1,777,000,000",,,"297,000,000","2,266,700,000","1,944,400,000",,,,,,
		CurrentDebt,"2,351,000,000","3,348,000,000","4,686,000,000","4,373,000,000","6,320,000,000","2,094,000,000","1,989,000,000","839,000,000","949,000,000","1,416,000,000",,"1,682,000,000",,,,,"1,381,000,000",,"1,704,000,000","2,409,000,000","1,777,000,000",,,"297,000,000","2,266,700,000","1,944,400,000",,,,,,
			CommercialPaper,,,,,,,,,,,,,,,,,"1,381,000,000",,"1,704,000,000","2,409,000,000","1,777,000,000",,,,,,,,,,,
			OtherCurrentBorrowings,"2,351,000,000","3,348,000,000","4,686,000,000","4,373,000,000","6,320,000,000","2,094,000,000","1,989,000,000","839,000,000","949,000,000","1,416,000,000",,"1,682,000,000",,,,,,,,,,,,"297,000,000","2,266,700,000","1,944,400,000",,,,,,
